Link Recipe Title Recipe Categories Ingredients List
https://www.gordonramsay.com/gr/recipes/slow-cooked-beef-short-ribs/, Slow-cooked Beef Short Ribs, Beef|Christmas, olive oil|meaty beef short ribs|garlic|tomato purée|red wine|beef stock|pancetta lardons|chestnut mushrooms|sea salt |ground black pepper|flat leaf parsley
https://www.gordonramsay.com/gr/recipes/pan-fried-scallops-with-crunchy-apple-salad/, Pan-Fried Scallops with Crunchy Apple Salad, Salads|Fish, olive oil|scallops|lemon|sharp apple|lamb’s lettuce|and zest of ½ lemon|olive oil|sea salt |ground black pepper
https://www.gordonramsay.com/gr/recipes/sea-bream-with-tomato-and-herb-salsa/, Sea Bream with Tomato & Herb Salsa, Fish, olive oil|sea bream fillets|olive oil|cherry tomatoes|pitted black olives|coriander|basil|lemon|sea salt |ground black pepper
https://www.gordonramsay.com/gr/recipes/lamb-koftas-with-mint-and-yoghurt-dressing/, Lamb Koftas with Mint & Yoghurt Dressing, Lamb, olive oil|onion|garlic cloves|cumin seeds|chilli flakes|minced lamb|parsley leaves|mint leaves|sea salt |ground black pepper|mint|toasted cumin seeds|natural yoghurt|ground black pepper|lemon juice
https://www.gordonramsay.com/gr/recipes/orzo-pasta-salad/, Orzo Pasta Salad, Salads, orzo|bay leaf|pine nuts|basil|rocket|olive oil|sea salt |ground black pepper|for the dressing|parmesan cheese|lemon|extra virgin olive oil|parmesan cheese|lemon|extra virgin olive oil
https://www.gordonramsay.com/gr/recipes/roasted-red-onion-vinaigrette-with-green-bean-salad/, Roasted Red Onion Vinaigrette with Green Bean Salad, Salads|Vegetarian, runner beans|french beans|sugarsnap peas|roughly chopped mint and parsley|red onions|extra virgin olive oil|thyme sprigs|garlic clove|sherry vinegar|sea salt |ground black pepper
https://www.gordonramsay.com/gr/recipes/slow-roasted-pork-belly/, Slow Roasted Pork Belly, Pork|Christmas, pork belly|sea salt |black pepper|fennel bulb|bay leaves|garlic cloves|cardamom pods|star anise|fennel seeds|olive oil|white wine|chicken stock |wholegrain mustard
https://www.gordonramsay.com/gr/recipes/bread-and-butter-pudding/, Bread and Butter Pudding, Dessert|Christmas, softened butter|apricot jam|pains au chocolat|ground cinnamon|demerara sugar|golden raisins|whole milk|double cream|eggs|vanilla pods
https://www.gordonramsay.com/gr/recipes/asparagus-with-lemon-and-tarragon-hollandaise/, Asparagus with Lemon and Tarragon Hollandaise, Vegetarian, asparagus|egg yolks|squeeze of lemon juice|olive oil|tarragon|sea salt |ground black pepper
https://www.gordonramsay.com/gr/recipes/chicken-and-autumn-vegetable-pies/, Chicken & Autumn Vegetable Pies, Chicken|Pie, pancetta|olive oil|leek|celeriac|butternut squash|thyme sprigs|dry sherry|chicken stock|crème fraîche|puff pastry|plain flour|egg yolk|cooked chicken|sea salt |ground black pepper
https://www.gordonramsay.com/gr/recipes/jerk-chicken/, Jerk Chicken, Chicken, chicken legs|olive oil|worcestershire sauce|rice|thyme sprigs|scotch bonnet chillies|garlic cloves|ground cloves|ground cinnamon|ground nutmeg|ground allspice|thyme sprigs|ground black pepper|olive oil
https://www.gordonramsay.com/gr/recipes/pimms-jellies/, Pimms Jellies, Dessert, leaf gelatine|lemonade|strawberries|oranges|granny smith apple|lemon|pimm’s no.1|caster sugar|mascarpone cheese|double cream|mint sprigs|shortbread biscuits
https://www.gordonramsay.com/gr/recipes/north-african-eggs/, North African Eggs, Egg|Breakfast, olive oil|onion|red pepper|green pepper|garlic cloves|red chilli|cumin seeds|tomatoes|eggs|sea salt |ground black pepper|coriander leaves|spring onion|crusty bread
